Id,Name,Description,Professional_Role_Id,Professional_Role
127999885,Оператор приемки молока,"<p><strong>Молочный комбинат «Самаралакто» </strong>обеспечивает население продуктами, известными под такими брендами, как «Простоквашино», «Bio Баланс», «Для всей семьи», «Актуаль», «АктиБио», «Растишка», «Даниссимо». Основанный в 1932 году, несмотря на свой возраст он является одним из самых современных и инновационных заводов компании!</p> <p><strong>В индустриальном отделе </strong>мы создаем новые инструменты производства, внедряем лучшие практики в постоянном стремлении к совершенству и эффективности, а также создаем продукты, которые любят миллионы семей по всей стране!</p> <p><strong>В этой роли ты будешь:</strong></p> <ul> <li>Наводить моющие растворы</li> <li>Проверять участок приемки на предмет целостности оборудования; (работа по чек-листу)</li> <li>Вести документацию, журналы (в электронном и бумажном виде)</li> <li>Производить сверку документов на соответствие требования нормативным документам</li> <li>Заниматься приемкой молока в системе SAP и Меркурий</li> </ul> <p><strong>Мы ищем именно тебя, если:</strong></p> <ul> <li>У тебя есть высшее или средне профессиональное образование (профильное техническое образование, связанное с пищевой промышленностью)</li> <li>У тебя есть опыт работ в производстве(будет являться преимуществом)</li> <li>Тебе подходит сменный график работы (смена с 10:00 до 02:00/2 выходных)</li> <li>Ты уверенный пользователь ПК(знание Excel, желательно знание программ SAP и Меркурий)</li> <li>Ты хочешь работать в производстве пищевой продукции и развиваться в этом направление</li> <li>Ты готов к обучению</li> <li>Ты готов соблюдать санитарно-гигиенические требования при проведении работ</li> </ul> <p><strong>Мы предлагаем:</strong></p> <ul> <li>Официальное оформление с первого рабочего дня (белая заработная плата, оплата больничных листов, ежегодные отпуска), повышенная оплата за работу в выходные и праздничные дни</li> <li>ДМС со стоматологией с первого месяца работы, страхование жизни, льготное страхование близких, медицинский осмотр за счет компании. Доплата по больничному листу до 100% заработной платы (10 дней в году)</li> <li>Работа в команде профессионалов и возможности карьерного роста</li> <li>Программа признания заслуг по различным номинациям (подарочные сертификаты, памятные призы)</li> <li>Денежный бонус по программе «Приведи друга» - от 23 000 рублей</li> <li>Регулярная выдача продукции, производимой в компании</li> <li>Доставка корпоративным транспортом до места работы и обратно</li> <li>Специальная одежда и обувь за счет компании, современные средства защиты для безопасной работы</li> <li>Неформальная корпоративная жизнь: встречи команд, развитое волонтерское движение, поддержка спорта и семейные мероприятия</li> <li>Гарантированные условия выплаты ежемесячной премии в первые 3 месяца работы, далее размер премии зависит от ваших результатов</li> <li>Льготное горячее питание, комфортные комнаты для отдыха и приема пищи</li> </ul>",84,"Оператор ПК, оператор базы данных"
128692715,Системный аналитик,"<p>Наша компания POWWWER разрабатывает облачные системы автоматизации и управления бизнесом. Мы ищем в свою команду Системного Аналитика для новых интересных проектов.</p> <p><strong>Обязанности:</strong></p> <p>• Сбор функциональных требований</p> <p>• Классический анализ для заказной разработки клиент-серверных приложений (бэк/фронт)</p> <p>• Сопровождение процесса разработки;</p> <p>• Описание Use Case и User Story</p> <p>• Моделирование BPMN диаграмм для описания процессов</p> <p>• Описание функциональных алгоритмов в виде блок-схем</p> <p>• Постановка ТЗ, ЧТЗ для разработки</p> <p>• Проработка новых и изменение существующих бизнес-процессов;</p> <p>• Проработка технических решений, интеграций, описание API;</p> <p>• Разработка новых и поддержание существующих спецификаций продукта;</p> <p>• Декомпозиция и описание задач для разработки;</p> <p>• Анализ логов и разбор нестандартных инцидентов;</p> <p>• Участие в планировании релизов и формировании продуктового backlog.</p> <p> </p> <p> </p> <p><strong>Требования</strong>:</p> <p>• Опыт работы в роли Системного аналитика от 3,5 лет;</p> <p>• Опыт написания ТЗ для разработчиков;</p> <p>• Знание технологий интеграции систем (REST, SOAP);</p> <p>• Опыт документирования REST API, проектирование REST API;</p> <p>• Понимание форматов XML/XSD, JSON;</p> <p>• Навыки описания API;</p> <p>• Понимание принципов проектирования реляционных баз данных;</p> <p>• Опыт проектирования предметных областей и структуры БД;</p> <p>• Опыт работы с проектной документацией;</p> <p>• Навыки описания бизнес-процессов в различных нотациях (BPMN, ERD, UML);</p> <p>• Понимание принципов клиент-серверной и микросервисной архитектуры;</p> <p>• Опыт работы с брокерами сообщений (rabbit);</p> <p>• Умение работать с инструментами тестирования web-сервисов (SoapUI, Postman);</p> <p>• SQL на уровне простых запросов;</p> <p>• Опыт работы с Jirа/Confluence;</p> <p>• Готовность работать с кодом, инструментами для моделирования бизнес-процессов.</p> <p> </p> <p><strong>Дополнительные навыки (будет преимуществом):</strong></p> <ul> <li>Опыт работы в банках от 3 лет</li> <li>Знание сетевого стека TCP/IP</li> <li>Технические навыки:</li> </ul> <p>REST/gRPC, OpenAPI, версионирование, очереди/шины (Kafka), управление схемами.</p> <p>PostgreSQL/Oracle, ER-модели, индексы, кэширование (Redis), миграции (Flyway/Liquibase), практики DQ/MDM, Data Lineage.</p> <p>JUnit 5, Testcontainers, Pact/WireMock, нагрузочное тестирование (Gatling/JMeter), формулирование NFR и SLO.</p> <p> </p> <p><strong>Условия:</strong></p> <p>● Интересные проекты и задачи;</p> <p>● Официальное трудоустройство;</p> <p>● График работы 5/2, возможность гибкого графика и удаленной работы;</p> <p>● Удобный офис в Нижней зоне Академгородка;</p> <p>● ДМС.</p>",148,Системный аналитик
128973523,Ведущий программист 1С (Senior),"<p>Аккредитованная ИТ-компания, входящая в Группу компаний &quot;Содружество&quot;, ищет <em><strong>Ведущего программиста 1С (Senior)</strong></em>, который станет частью нашей профессиональной команды Отдела технологического проектирования и разработки программных решений на платформе 1С 8.3 и будет готов развиваться вместе с нами.</p> <p><strong>МЕСТО РАБОТЫ: </strong>удаленный формат работы из любой точки с синхронизацией рабочего времени по Калининграду или Москве.</p> <p><strong>ВАШИ БУДУЩИЕ ЗАДАЧИ</strong></p> <ul> <li>Участие в проектировании архитектуры решений на платформе 1С;</li> <li>Адаптация типовых блоков конфигураций 1С под потребности бизнеса;</li> <li>Проектирование, разработка собственных решений для бизнеса на платформе 1С под ключ;</li> <li>Проектирование и разработка интеграций как между системами 1С, так и между системами 1С и Не 1С ( Directum,RX, внешние сервисы);</li> <li>Создание технической документации к разрабатываемому ПО;</li> <li>Контроль качества разрабатываемого программного кода, проведение code review;</li> <li>Рзработка отчетов на СКД.;</li> <li>Создание механизмов обмена данными на платформе 1С (1С: Конвертация данных 2.0 и 3.0);</li> <li>Реализация интеграций через механизмы xml, json, o-data, опыт написания web-сервисов.</li> </ul> <p><strong>НАШИ ПОЖЕЛАНИЯ К УСПЕШНОМУ КАНДИДАТУ</strong></p> <ul> <li>Опыт разработки на платформе 1С:8.3, в том числе разработки на управляемых формах;</li> <li>Знание клиент-серверной архитектуры 1С;</li> <li>Опыт разработки отчетов на СКД;</li> <li>Знание механизмов обмена данными на платформе 1С (1С: Конвертация данных 2.0 и 3.0 будет большим плюсом);</li> <li>Умение применять в работе механизм расширений;</li> <li>Опыт успешных интеграций через механизмы xml, json, o-data, опыт написания web-сервисов;</li> <li>Опыт работы с хранилищем конфигураций 1С.</li> </ul> <p><em>Будет преимуществом:</em></p> <ul> <li>Понимание принципов Agile;</li> <li>Сертификат &quot;1С: Специалист&quot; или желание получить его;</li> <li>Опыт работы с 1C:Enterprise Development Tools, GitLab, Jenkins, Docker, Jira, Confluence, Gherkin, RabbitMQ, Elasticsearch.</li> </ul> <p><strong>МЫ ПРЕДЛАГАЕМ:</strong></p> <p><em><strong>График работы:</strong></em> 5/2 (понедельник - пятница с 9:00 до 18:00);</p> <p><em><strong>Конкурентный и достойный уровень заработной платы</strong></em><strong> </strong><em>(просьба указать в резюме или в сопроводительном письме Ваши финансовые ожидания)</em>;</p> <p><em><strong>Удаленный формат работы</strong></em> из любой точки с синхронизацией рабочего времени по Калининграду или Москве;</p> <p><em><strong>Мощное «железо» и софт</strong></em>, которые позволят Вам эффективно решать поставленные задачи;</p> <p><em><strong>Индивидуальный путь профессионального развития</strong></em> в команде единомышленников и под руководством опытных специалистов;</p> <p><em><strong>Расширенную корпоративную программу ДМС</strong></em>, которая включает услуги стоматолога;</p> <p><em><strong>Поддержку семьи</strong></em>: частичную компенсацию расходов на детский отдых, ежегодные новогодние подарки, а для первоклассников — корпоративный портфель;</p> <p><em><strong>Ежегодный пересмотр заработной платы</strong></em>, чтобы Ваш доход соответствовал рыночному уровню;</p> <p><strong><em>Участие в проектах</em></strong><strong>, </strong>обеспечивающих продовольственную безопасность и технологический суверенитет России.</p>",96,"Программист, разработчик"
127656173,DevOps,"<p>В <strong>ГК Русагро</strong> открыта вакансия<strong> DevOps</strong></p> <p><strong>Что нужно делать?</strong></p> <ul> <li>Поддержка и развитие инфраструктуры, включая серверные технологии и сетевые протоколы;</li> <li>Разработка и реализация алгоритмов автоматизации для повышения эффективности работы компании;</li> <li>Доработка существующих систем для улучшения производственных процессов;</li> <li>Конфигурация операционных систем и сервисов для обеспечения функционирования информационных систем;</li> <li>Настройка и использование систем мониторинга (Zabbix, Prometheus, Grafana, Loki) для обеспечения высокой доступности и производительности;</li> <li>Обеспечение безопасности и масштабируемости баз данных (PostgreSQL, MySQL, MongoDB, Cassandra);</li> <li>Реализация практик непрерывной интеграции и доставки, а также инфраструктуры как кода;</li> <li>Работа с Istio Service Mesh для управления трафиком, обеспечения безопасности и наблюдаемости;</li> <li>Использование и настройка прокси-серверов (Envoy Proxy, Nginx);</li> <li>Настройка VPN-серверов и клиентов (OpenVPN, Wireguard, OpenConnect).</li> </ul> <p><strong>Что для этого требуется?</strong></p> <ul> <li>Опыт работы на аналогичной должности от 3х лет;</li> <li>Знания в области инфраструктуры и системного администрирования, сетевых технологий и протоколов, а также серверных технологий;</li> <li>Умение писать код на скриптовых языках (Python, Bash), понимать принципы разработки ПО и владеть инструментами контроля версий, прежде всего Git;</li> <li>Опыт работы с Docker и Kubernetes;</li> <li>Знание практик и инструментов непрерывной интеграции и доставки (CI/CD), инфраструктуры как кода (IaC), а также мониторинга и обсервабельности (OpenSearch, Graylog, ElasticSearch, Loki, Promtail);</li> <li>Понимание принципов работы как реляционных (PostgreSQL, MySQL), так и NoSQL (MongoDB, Cassandra) баз данных, а также знать, как обеспечивать их масштабируемость, безопасность и отказоустойчивость;</li> <li>Знание и умение использовать и настраивать стек системы мониторинга Zabbix, Prometheus + Grafana + Loki;</li> <li>Умение использовать в качестве прокси envoy proxy, nginx;</li> <li>Опыт использования PowerShell в CI/CD;</li> <li>Опыт настройки Gitlab CI/CD + Gitlab runners (Linux, Windows, Kubernetes) + Registry + Kubernetes.</li> </ul> <p><strong>Желательно:</strong></p> <ul> <li>Опыт работы с облачными платформами Yandex, VK Cloud;</li> <li>Знание Airflow, Kubeflow;</li> <li>Знание Istio Service Mesh - наблюдаемость, управление трафиком и безопасность;</li> <li> <p>Опыт настройки VPN серверов и клиентов (OpenVPN, Wireguard, OpenConnect).</p> <p> </p> </li> </ul> <p><strong>Что готовы предложить?</strong></p> <ul> <li>Официальное трудоустройство в соответствии с ТК РФ в аккредитованную IT‑компанию;</li> <li>Белая заработная плата: оклад + бонус;</li> <li>Широкий пакет ДМС с ведущими клиниками города. Стоматология включена в пакет ДМС!</li> <li>Компания осуществляет бронирование сотрудников в рамках норм действующего законодательства;</li> <li>Работа в команде профессионалов с возможностью роста;</li> <li>Программа наставничества, которая помогает адаптироваться новым сотрудникам;</li> <li>Компания предоставляет возможность обучать других сотрудников и стать самому наставником;</li> <li>Семинары и корпоративная библиотека курсов;</li> <li>Работа с современными цифровыми системами и возможность принять участие в проектах автоматизации функций;</li> <li>Насыщенная корпоративная жизнь: Ежегодные &quot;Честные игры&quot; (спортивно-интеллектуальный турнир, различные квизы, программа Амбассадорства и другие мероприятия).</li> <li>График работы 5/2, 40 часовая рабочая неделя;</li> <li>Работа в офисе, ул. Валовая 35.</li> </ul>",160,DevOps-инженер
121719040,Ведущий инженер-программист АСУ ТП,"<strong>Обязанности:</strong> <p>- Разработка прикладного программного обеспечения и интерфейса оператора (SCADA) для автоматизации опытных и промышленных установок различного назначения</p> <p>- Оформление результатов своей деятельности согласно ГОСТ 34.201, ЕСКД</p> <p>- Участие в проведении пусконаладочных работ</p> <p>- Осуществление руководства и организации отдельных стадий или направлений проектных работ в части программного обеспечения (ПО), участие в решении всех связанных с этим научно-технических вопросов</p> <p>- Планирование и координирование работы исполнителей, участвующих в разработке отдельных элементов или частей проекта</p> <p>- Разработка и согласование с заказчиком технических заданий на разработку программного обеспечения</p> <p>- Изучение и анализ поступающего от других предприятий ПО в целях его использования при проектировании и конструировании</p> <p><strong>Требования:</strong></p> <p>- Высшее техническое образование в области автоматизации, электротехники, или смежной специальности</p> <p>- Опыт работы в области АСУ ТП, желательно от 5 лет</p> <p>- Знания в области разработки прикладного ПО на языках программирования МЭК 61131-3</p> <p>- Знание среды разработки CODESYS и наличие реализованных проектов в данной среде</p> <p>- Знание среды разработки MasterSCADA и наличие реализованных проектов в данной среде</p> <p>- Опыт работы с пакетом SoftMotion (желателен)</p> <p>- Знание принципов функционирования и построения промышленных сетей и протоколов (Ethernet, Profibus DP, Profinet, Modbus RTU, Modbus TCP, CANopen, EtherCAT, OPC.)</p> <p>- Знание современной аппаратной базы отечественных и зарубежных производителей, используемой для создания АСУ ТП (RealLab, ОВЕН, ProSoft, SIEMENS, Schneider Electric, ABB, и др.)</p> <p>- Умение читать принципиальные электрические схемы оборудования, в т.ч. на силовые шкафы и шкафы управления</p> <p>- Умение оформлять результаты своей деятельности согласно требований ГОСТ34.201, ЕСКД - Умение творчески подходить к решению задач</p> <strong>Условия:</strong> <ul> <li> <p><strong>Комфортные условия работы</strong></p> </li> <li>Современные рабочие места</li> <li>Цифровые сервисы для сотрудников</li> <li> <p><strong>Обучение и развитие</strong></p> </li> <li>Собственная онлайн-платформа с программами профессионального и личностного роста – от инженерных курсов до изучения иностранных языков</li> <li>Участие в конференциях, тренингах и конкурсах профессионального мастерства</li> <li> <p><strong>Карьерные возможности</strong></p> </li> <li>Карьерные консультации для построения экспертной или управленческой траектории роста</li> <li>Поддержка карьерного развития сотрудников</li> <li> <p><strong>Социальные программы</strong></p> </li> <li>ДМС со стоматологией и госпитализацией</li> <li>Страхование несчастных случаев на производстве</li> <li>Линия психологической поддержки</li> <li>Финансовая помощь в особых жизненных ситуациях</li> <li> <p><strong>Корпоративная жизнь</strong></p> </li> <li>Тимбилдинги</li> <li>Спортивные активности и отраслевые соревнования</li> <li>Волонтерские движения</li> <li>Мероприятия для сотрудников и их семей</li> </ul>",96,"Программист, разработчик"
128937519,Программист,"<strong>Обязанности:</strong> <ul> <li> <p>HTML / CSS / PHP / JSON (вёрстка)</p> </li> <li> <p>Работа с базами данных MySQL</p> </li> <li> <p>Работа с телеграм ботами (разной сложности)</p> </li> <li> <p>Построение сети внутри организации</p> </li> <li> <p>Обслуживание сервера и техники организации</p> </li> <li> <p>Уверенная работа с продуктами WINDOWS, Linux, Apple</p> </li> </ul> <strong>Требования:</strong> <ul> <li>Пунктуальность</li> <li>Стрессоустойчивость</li> <li>Грамотность</li> <li>Уверенная работа с ПК</li> <li>Умение работать с оборудованием</li> </ul> <strong>Условия:</strong> <ul> <li>График работы с понедельника по пятницу с 10:00 до 16:00, при высокой загруженности до 18:00</li> <li>Заработная плата от 65.000 рублей</li> </ul>",96,"Программист, разработчик"
129038557,Специалист технической поддержки,"<p>Ищем специалистов <strong>БЕЗ ОПЫТА</strong> на проекты от известных брендов в РФ, которым будет интересна сфера клиентского обслуживания.</p> <p>А ещё мы можем предложить тебе в будущем карьеру в IT, HR и других направлениях.</p> <p>Сейчас открыта вакансия <strong>Специалиста технической поддержки клиентов. </strong>Стабильный проект федерального значения без продаж. Не чаты и не фриланс, всё официально. Всему научим, опыт не нужен!</p> <p><strong>Для тебя у нас есть:</strong></p> <ul> <li>Стабильный доход <strong>от 50 000 ₽</strong> (оклад + премия, растут от стажа работы)</li> <li>График работы:<strong> </strong>2/2, время работы выбираешь самостоятельно <strong>(все перерывы включены!)</strong></li> <li><strong>Удаленный формат</strong></li> <li><strong>Официальное трудоустройство в аккредитованную IT-компанию с первого дня</strong></li> <li>Работа на выделенном стабильном проекте в команде профессионалов</li> <li>Оплата обучения с первого дня. Всему научим и заплатим за это!</li> <li>Реальный карьерный рост, благодаря корпоративной Академии карьеры</li> <li><strong>10 000 рублей и корпоративная валюта за каждого приведенного друга</strong></li> <li>Корпоративное медицинское сопровождение и подарки за год работы</li> <li>Полный пакет поддержки персонала: Экологичная адаптация, Банк идей, Отдел заботы, корпоративные форумы, челленджи и многое другое</li> <li>Корпоративные скидки для сотрудников от школы иностранных языков, фитнес-клубов и интернет-провайдера</li> <li>Портал «Вселенная Игрофикации»: после работы можно играть с коллегами в различные игры (Мафия, Угадай Мелодию, турниры по DOTA 2/CS 2 и многое другое) и получать за это корпоративную валюту</li> </ul> <p><strong>Что будешь делать:</strong></p> <ul> <li>Принимать входящие звонки клиентов известного интернет-провайдера</li> <li>Отвечать на вопросы по скрипту с заботой и пониманием</li> <li>Разбираться в продукте (всему научим!)</li> </ul> <p><strong>Мы ждём от тебя:</strong></p> <ul> <li>Грамотная устная речь</li> <li>Уверенное владение русским языком</li> <li>Базовые навыки работы с ПК</li> <li>Готовность консультировать клиентов по техническим вопросам</li> <li>Своевременное предоставление документов для оформления</li> <li>Обязательное прохождение технического теста</li> </ul> <p><strong>Оставляй отклик прямо сейчас, если чувствуешь мэтч!</strong></p> <p><strong>Пригласим на собеседование сегодня, а завтра уже начнешь зарабатывать!</strong></p> <p><em>Будет здорово, если у тебя есть опыт работы в таких компаниях, как: Смартер, Voxys, INFOTELL, Телеперфоманс, Аудиотеле, CallTraffic, Телеконтакт, Voolna, Ростелеком, ВТБ, Neovox, IQLINE, РТС Глобал, Билайн, МТС, Сбер, Яндекс, Тинькофф, Авито, Ростелеком, РТК, Neovox, РТС Глобал, Билайн, а также опыт работы на позициях: менеджер, продавец-консультант, оператор по работе с входящими звонками, специалист банка, специалист службы техподдержки, менеджер контакт (call)-центра, специалист интернет-магазина, специалист чат-ботов, менеджер страхования, а также начинающий специалист без опыта, который ищет удаленную работу со сменным или гибким графиком, подработку, вакансии контактного центра, частичная занятость, подработка, менеджер по работе с клиентами, менеджер по продажам, начало работы, без опыта, гибкий график. Если нет, всему научим!</em></p>",121,Специалист технической поддержки
128960677,Python-разработчик,"<p><strong>Мы - команда опытных специалистов, которые занимаются продвижением и созданием продуктов в IT сфере.</strong></p> <p><strong>Наша компания проделала длинный путь, от группы единомышленников до международной компании, которая помогла развиться большому числу проектов-стартапов вырасти в самостоятельный и успешный бизнес, который присутствует на рынках России, СНГ, Латинской Америки, Азии.</strong></p> <p><strong>Наши проекты развиваются и становятся крупнее, а это значит, нам нужны новые люди.</strong></p> <p><strong>Сейчас, в связи с расширением команды, мы в поисках Python-разработчика</strong></p> <p><strong>Обязанности:</strong></p> <ul> <li> <p>Разработка асинхронной микросервисной архитектуры на FastAPI. Высокие требования к отказоустойчивости платформы;</p> </li> <li> <p>Тесное взаимодействие с командами тестирования и аналитики.</p> </li> </ul> <p><strong>Требования:</strong></p> <ul> <li>Уверенное владение от Python 3.8+;</li> <li>Опыт работы с CУБД (MySQL\Postgres\Mongo);</li> <li>Опыт работы с Redis;</li> <li>Опыт использования очередей сообщений (RabbitMQ, Kafka);</li> <li>Опыт работы с Django, FastAPI, Flask, etc.;</li> <li>Уверенное владение Git (опыт работы с gitlab);</li> <li>Опыт использования Docker(создание dockerfile и запуск контейнера), docker-compose;</li> <li>Опыт построения многопоточных приложений c замками и флагами, опыт работы с системой библиотек aio-libs;</li> <li>Опыт работы с библиотекой celery, библиотекой socketio;</li> <li>Опыт работы с сабпроцессами и систем-юнитами;</li> <li>Умение проектировать логику задач / выбирать подходящие для решения задачи технологии.</li> </ul> <p><strong>Будет плюсом:</strong></p> <ul> <li>Опыт работы с инструментами Atlassian: Jira, Confluence;</li> <li>Опыт работы с kubernetes и helm-конфигами;</li> <li>Опыт работы с newSQL решениями для хранения и обработки BigData (TIDB).</li> </ul> <p><strong>Условия:</strong></p> <ul> <li> <p>Удаленка или офис в Казани (ИТ-парк или БЦ Сфера). Команда отлично работает распределенно;</p> </li> <li> <p>Гибкий график работы;</p> </li> <li> <p>Супер-приятный коллектив, здоровая атмосфера и взаимная поддержка;</p> </li> <li> <p>Возможность принимать прямое участие в создании продукта на миллионы пользователей;</p> </li> <li> <p>Перспективы вырасти в рамках компании;</p> </li> <li> <p>Корпоративные мероприятия: спорт, обучение;</p> </li> <li>2 Day-off в год на важные мероприятия и премия сотрудникам по значимым событиям (день рождения, заключение брака и др);</li> <li> <p>ДМС после 3х месяцев работы.</p> </li> </ul>",96,"Программист, разработчик"
128981925,Менеджер по техническому надзору за безопасностью Центра безопасности.,"<p><strong>Обязанности:</strong></p> <p>Организация и проведение проверок по безопасности, выявление потенциальных опасностей и контроль устранения нарушений.</p> <p>− Организация внедрения системы управления рисками, включая их классификацию по уровням и контроль мероприятий по устранению.</p> <p>− Организация и развитие системы управления пожарной безопасностью, контроль выполнения требований и поручений вышестоящих органов.</p> <p>− Управление и контроль выполнения опасных видов работ.</p> <p>− Организация контроля соблюдения принципа «три одновременно» (одновременное проектирование, строительство и ввод в эксплуатацию мер безопасности), а также надзор за безопасностью новых и реконструируемых объектов.</p> <p>− Организация расследования инцидентов и происшествий с соблюдением принципа «четырёх не оставлять без внимания» (причины, меры, ответственные, контроль исполнения).</p> <p>− Пресечение нарушений требований безопасности и распространение передового опыта в области управления безопасностью.</p> <p>− Выполнение иных поручений вышестоящего руководства в рамках компетенции.</p> <p><strong>Требования:</strong></p> <p><strong>- </strong>Высшее техническое образование по специальностям;</p> <p>- Более 2 лет опыта в соответствующей отрасли.</p> <p> </p>",116,Специалист по информационной безопасности
128227107,Специалист технической поддержки 1С:ЗУП,"<p><strong>Ракетно-космическая корпорация «Энергия»</strong> — это флагманское предприятие отечественной космонавтики, занимающееся проектированием и созданием передовых космических систем, в число которых входят модули для Международной космической станции, пилотируемые корабли серии «Союз», грузовые корабли серии «Прогресс», а также самые новейшие разработки – пилотируемый транспортный корабль нового поколения и проект Российской орбитальной станции (РОС).<br /><br />Приглашаем в нашу команду <strong>Специалиста технической поддержки 1С</strong>!</p> <h2> </h2> <h2>Наши условия:</h2> <p> </p> <ul> <li>Официальное трудоустройство в соответствии с ТК РФ;</li> <li>Стабильная белая заработная плата 2 раза в месяц: оклад + ежеквартальные премии, (оговаривается с финальным кандидатом на собеседовании в соответствии с его опытом);</li> <li>Возможности для профессионального и личного роста;</li> <li>Корпоративное обучение.</li> </ul> <p> </p> <h2>Что требуется от вас:</h2> <p> </p> <ul> <li>Высшее или среднее специальное (специальности ИТ профиля, экономическая группа специальностей);</li> <li>Хорошие знания конфигураций 1С: Предприятие 8.3, конфигурация ЗУП КОРП;</li> <li>Знание предметной области;</li> <li>Опыт документирования;</li> <li>Умение говорить с заказчиком и программистом на одном языке.</li> </ul> <p> </p> <h2>Ваши задачи:</h2> <p> </p> <ul> <li>Анализ обращений пользователей, консультирование пользователей по следующим вопросам:<br />• Кадровый учет (прием, перевод, увольнение сотрудников, ведение плановых, разовых начислений, премий, командировок, отпусков, отсутствий, премий, БЛ, командировок, табелей, сверхурочных, работы в выходные и праздники, 1С-Отчетность);<br />• Расчет заработной платы (начисления, удержания, больничные листы, надбавки, отпуска, натуральные доходы, мат.помощь, командировки, договора ГПХ, компенсации, разовые начисления), страховые взносы, резервы по оплате труда;<br />• Отчеты: 6НДФЛ, 2НДФЛ, СЗВ-Стаж, ЕФС-1.</li> <li>Тестирование и участие во внедрении нового функционала;</li> <li>Разработка руководств пользователей, ведение базы знаний (локальная wiki организации).</li> </ul> <p><br />Место работы: Московская область, г. Королев, ул. Ленина, 4А (15 мин от ж/д станции &quot;Подлипки-Дачные&quot;).<br /><br />Оставляйте отклик на вакансию и становитесь частью космической команды РКК «Энергия»!</p>",121,Специалист технической поддержки
