Условие,Частота,Количество,122
full-time,31,1,
медицина,32,1,
студент,32,1,
самозанятость,32,1,
3/3,33,1,
контракт,35,1,
сдельный,35,1,
дорога,35,1,
kion,36,1,
общежитие,37,1,
сберуниверситет,37,1,
лаунж-зона,37,1,
театр,37,1,
возмещение,37,1,
еда,38,1,
онлайн-кинотеатр,38,1,
единовременный,39,1,
подработка,40,1,
поход,41,1,
осмотр,42,1,
аккредитация,43,1,
переподготовка,43,1,
госпитализация,45,1,
онлайн-библиотека,46,1,
охрана,46,1,
трансфер,46,1,
пиццерия,47,1,
массаж,47,1,
хакатон,47,1,
cкидка,47,1,
дотация,47,1,
вечеринка,50,1,
бар,50,1,
спецодежда,50,1,
заболевание,51,1,
семейный,52,1,
переработка,52,1,
8-часовой,52,1,
менторство,54,1,
софинансирование,55,1,
фитнес-центр,56,1,
вычет,56,1,
минцифра,59,1,
санаторий,60,1,
1/3,60,1,
йога,60,1,
завтрак,65,1,
операция,66,1,
релокационный,67,1,
покрытие,67,1,
инвестиция,68,1,
сберпрайм+,68,1,
надбавка,71,1,
бег,73,1,
мерч,73,1,
одежда,73,1,
реферальный,74,1,
продвижение,75,1,
skyeng,75,1,
кредитование,76,1,
24/7,78,1,
кафетерий,82,1,
гпх,83,1,
проживание,84,1,
баскетбол,86,1,
юрист,87,1,
отсрочка,88,1,
оздоровительный,91,1,
релокация,93,1,
ненормированный,93,1,
кредит,104,1,
пн-чт,112,1,
коворкинг,120,1,
теннис,130,1,
парк,131,1,
врач,133,1,
стажировка,138,1,
чай,145,1,
фитнес-клуб,149,1,
санаторно-курортный,170,1,
сменный,171,1,
банковский,176,1,
родственник,177,1,
ресторан,185,1,
лечение,195,1,
спортзал,201,1,
клиника,203,1,
волейбол,203,1,
путёвка,218,1,
тимбилдинг,229,1,
страховка,235,1,
футбол,248,1,
2/2,250,1,
парковка,264,1,
кухня,266,1,
удалёнка,271,1,
кофе,294,1,
гибрид,306,1,
психолог,311,1,
наставничество,321,1,
фитнес,337,1,
договор,483,1,
обед,487,1,
библиотека,501,1,
английский,520,1,
льготный,605,1,
отдых,638,1,
питание,646,1,
спорт,707,1,
спортивный,792,1,
ребёнок,832,1,
выплата,869,1,
больничный,889,1,
страхование,1149,1,
оплата,1270,1,
премия,1349,1,
стоматология,1489,1,
отпуск,1501,1,
комфортный,1629,1,
5/2,2658,1,
дмс,3331,1,
обучение,3969,1,
