Требование,Частота,Количество,157
tensorflow,30,1,
archicad,31,1,
mpls,31,1,
mvvm,31,1,
svn,31,1,
smtp,31,1,
asterisk,32,1,
sip,32,1,
symfony,32,1,
vba,32,1,
macos,33,1,
allure,34,1,
kvm,34,1,
cassandra,34,1,
blender,35,1,
ssh,35,1,
modbus,36,1,
selenium,36,1,
revit,37,1,
dss,37,1,
ids/ips,37,1,
asp.net,37,1,
scikit-learn,37,1,
stp,37,1,
qos,38,1,
cms,38,1,
draw.io,39,1,
kibana,39,1,
waf,39,1,
scada,40,1,
sdlc,40,1,
wms,40,1,
miro,40,1,
redux,42,1,
websocket,42,1,
vsphere,42,1,
nlp,43,1,
gcp,43,1,
hadoop,43,1,
greenplum,44,1,
swift,45,1,
sdk,47,1,
wireshark,48,1,
qt,49,1,
rag,50,1,
proxmox,51,1,
graphql,51,1,
pytest,52,1,
orm,53,1,
itil,53,1,
angular,53,1,
bitrix,58,1,
unity,58,1,
laravel,58,1,
waterfall,58,1,
spi,61,1,
firewall,62,1,
ipsec,63,1,
pytorch,65,1,
helm,66,1,
spark,69,1,
hyper-v,69,1,
fastapi,69,1,
клиентоориентированность,71,1,
swagger,75,1,
tableau,76,1,
ios,77,1,
ospf,77,1,
azure,78,1,
bgp,81,1,
grpc,81,1,
terraform,87,1,
kanban,88,1,
numpy,88,1,
aws,88,1,
nat,89,1,
visio,89,1,
mongodb,95,1,
spring,97,1,
kotlin,97,1,
llm,99,1,
elk,99,1,
pandas,103,1,
siem,104,1,
osi,106,1,
.net,110,1,
solid,111,1,
powershell,114,1,
postman,116,1,
airflow,117,1,
nginx,118,1,
soap,123,1,
autocad,130,1,
vlan,132,1,
xml,133,1,
jenkins,136,1,
c++,137,1,
скд,137,1,
css,138,1,
apache,140,1,
html,141,1,
ml,142,1,
обучаемость,147,1,
финансы,147,1,
react,152,1,
typescript,153,1,
cisco,155,1,
ai,155,1,
clickhouse,159,1,
powerpoint,167,1,
json,173,1,
http,174,1,
go,174,1,
rabbitmq,174,1,
oracle,175,1,
c#,176,1,
amp,183,1,
uml,192,1,
ansible,197,1,
prometheus,198,1,
самостоятельность,205,1,
zabbix,206,1,
vpn,207,1,
agile,217,1,
redis,218,1,
ооп,230,1,
php,232,1,
figma,235,1,
grafana,251,1,
bash,255,1,
javascript,256,1,
confluence,258,1,
bpmn,265,1,
dhcp,268,1,
photoshop,272,1,
стрессоустойчивость,286,1,
erp,297,1,
бд,302,1,
java,319,1,
dns,320,1,
kafka,324,1,
kubernetes,330,1,
word,336,1,
tcp/ip,354,1,
jira,422,1,
продажа,441,1,
коммуникабельность,444,1,
ci/cd,459,1,
docker,640,1,
git,674,1,
windows,758,1,
excel,785,1,
linux,980,1,
python,981,1,
английский,1063,1,
sql,1228,1,
1c,1247,1,
